Item Name,Item Variation,SKU,Category,Items Sold,Product Sales,Items Refunded,Refunds,Discounts & Comps,Net Sales,Tax,Gross Sales,Units Sold
"Antiox Herbal Tea Bags 25pk, Planet Org",Regular,"",Groceries,1,$7.15,0,$0.00,$0.00,$7.15,$0.00,$7.15,1
"Blossom Herbal Tea Bags 25pk, Planet Org",Regular,"",Groceries,7,$55.40,0,$0.00,$0.00,$55.40,$0.00,$55.40,7
"Brahmi Herbal Tea Bags 25pk, Planet Org",Regular,"",Groceries,2,$12.20,0,$0.00,$0.00,$12.20,$0.00,$12.20,2
"Calendula Herbal Tea Bags 25pk, Planet Org",Regular,"",Groceries,3,$21.60,0,$0.00,$0.00,$21.60,$0.00,$21.60,3
"Chai Spice Herbal Tea Bags 50pk, Planet Org",Regular,"",Groceries,8,$98.40,0,$0.00,$0.00,$98.40,$0.00,$98.40,8
"Chamomile Organic Tea 50 bags 48g, Planet Organic",Regular,"",Groceries,10,$82.00,0,$0.00,-$3.05,$78.95,$0.00,$78.95,10
"Cinnamon Herbal Tea Bags 25pk, Planet Org",Regular,"",Groceries,4,$29.80,0,$0.00,$0.00,$29.80,$0.00,$29.80,4
"Darjeeling Herbal Tea Bags 25pk, Planet Org",Regular,"",Groceries,3,$18.30,0,$0.00,$0.00,$18.30,$0.00,$18.30,3
"Digest Herbal Tea Bags 25pk, Planet Org",Regular,"",Groceries,4,$28.80,0,$0.00,$0.00,$28.80,$0.00,$28.80,4
"Earl Grey Herbal Tea Bags 25pk, Planet Org",Regular,"",Groceries,5,$41.00,0,$0.00,$0.00,$41.00,$0.00,$41.00,5
"Earl Grey Herbal Tea Loose 125g, Planet Org",Regular,"",Groceries,3,$30.75,0,$0.00,-$5.12,$25.63,$0.00,$25.63,3
"Echinacea Plus Herbal Tea Bags 25pk, Planet Org",Regular,"",Groceries,7,$57.40,0,$0.00,$0.00,$57.40,$0.00,$57.40,7
"Elderflower Herbal Tea Bags 25pk, Planet Org",Regular,"",Groceries,6,$61.80,0,$0.00,$0.00,$61.80,$0.00,$61.80,6
"English Breakfast Herbal Tea Bags 50pk, Planet Org",Regular,"",Groceries,11,$112.75,0,$0.00,$0.00,$112.75,$0.00,$112.75,11
"Epilobium Herbal Tea Bags 25pk, Planet Org",Regular,"",Groceries,2,$12.70,0,$0.00,$0.00,$12.70,$0.00,$12.70,2
"Gotu Kola Herbal Tea Bags 25pk, Planet Org",Regular,"",Groceries,2,$16.40,0,$0.00,$0.00,$16.40,$0.00,$16.40,2
"Green Tea Herbal Tea Bags 50pk, Planet Org",Regular,"",Groceries,7,$59.70,0,$0.00,-$1.64,$58.06,$0.00,$58.06,7
"Immunitea Herbal Tea Bags 25pk, Planet Org",Regular,"",Groceries,3,$24.60,0,$0.00,$0.00,$24.60,$0.00,$24.60,3
"Joint Calm Herbal Tea Bags 25pk, Planet Org",Regular,"",Groceries,4,$28.80,0,$0.00,$0.00,$28.80,$0.00,$28.80,4
"Lemon Myrtle Herbal Tea Bags 25pk, Planet Org",Regular,"",Groceries,6,$61.80,-1,-$10.30,$0.00,$51.50,$0.00,$51.50,6
"Lemongrass Herbal Tea Bags 25pk, Planet Org",Regular,"",Groceries,2,$12.20,0,$0.00,$0.00,$12.20,$0.00,$12.20,2
"Licorice Herbal Tea Bags 25pk, Planet Org",Regular,"",Groceries,9,$73.80,0,$0.00,-$1.64,$72.16,$0.00,$72.16,9
"Nettle Herbal Tea Bags 25pk, Planet Org",Regular,"",Groceries,8,$57.60,0,$0.00,-$0.72,$56.88,$0.00,$56.88,8
"Nusring Tea Herbal Tea Bags 25pk, Planet Org",Regular,"",Groceries,4,$49.20,0,$0.00,$0.00,$49.20,$0.00,$49.20,4
"Organic Turmeric Latte 100g, Planet Organic",Regular,"",Groceries,1,$15.40,0,$0.00,$0.00,$15.40,$0.00,$15.40,1
"Passionflower Herbal Tea Bags 25pk, Planet Org",Regular,"",Groceries,6,$49.20,0,$0.00,$0.00,$49.20,$0.00,$49.20,6
"Peppermint Herbal Tea Bags 50pk, Planet Org",Regular,"",Groceries,10,$82.00,0,$0.00,$0.00,$82.00,$0.00,$82.00,10
"Pu-erh Herbal Tea Bags 25pk, Planet Org",Regular,"",Groceries,7,$50.40,0,$0.00,-$0.72,$49.68,$0.00,$49.68,7
"Raspberry Leaf Herbal Tea Bags 25pk, Planet Org",Regular,"",Groceries,9,$92.25,0,$0.00,-$2.05,$90.20,$0.00,$90.20,9
"Rooibos Herbal Tea Bags 25pk, Planet Org",Regular,"",Groceries,2,$14.40,0,$0.00,$0.00,$14.40,$0.00,$14.40,2
"Rosehip & Hibiscus Herbal Tea Bags 25pk, Planet Org",Regular,"",Groceries,5,$41.00,0,$0.00,-$1.23,$39.77,$0.00,$39.77,5
"St.Johns Wort Herbal Tea Bags 25pk, Planet Org",Regular,"",Groceries,4,$32.80,0,$0.00,-$1.64,$31.16,$0.00,$31.16,4
"Throat Calm Herbal Tea Bags 25pk, Planet Org",Regular,"",Groceries,2,$16.40,0,$0.00,$0.00,$16.40,$0.00,$16.40,2
"Turmeric Herbal Tea Bags 25pk, Planet Org",Regular,"",Groceries,3,$18.45,0,$0.00,$0.00,$18.45,$0.00,$18.45,3
"White Tea Herbal Tea Bags 25pk, Planet Org",Regular,"",Groceries,3,$21.60,0,$0.00,$0.00,$21.60,$0.00,$21.60,3
"Wintertime Herbal Tea Bags 25pk, Planet Org",Regular,"",Groceries,4,$26.65,0,$0.00,$0.00,$26.65,$0.00,$26.65,4
"Yerba Mat Herbal Tea Bags 25pk, Planet Org",Regular,"",Groceries,1,$10.25,0,$0.00,$0.00,$10.25,$0.00,$10.25,1
Gripe Tea Planet Organic 25tb,Regular,"",Label  Tea,1,$10.25,0,$0.00,$0.00,$10.25,$0.00,$10.25,1
